duration,month,hour,day_of_week,user_type
15.433,3,23,Thursday,Subscriber
3.3,3,22,Thursday,Subscriber
2.067,3,22,Thursday,Subscriber
19.683,3,22,Thursday,Subscriber
10.933,3,22,Thursday,Subscriber
19.0,3,21,Thursday,Subscriber
6.967,3,21,Thursday,Subscriber
17.033,3,20,Thursday,Subscriber
6.117,3,20,Thursday,Subscriber
6.317,3,20,Thursday,Subscriber
11.3,3,20,Thursday,Subscriber
8.3,3,20,Thursday,Subscriber
8.283,3,19,Thursday,Subscriber
36.033,3,19,Thursday,Subscriber
5.833,3,19,Thursday,Subscriber
5.35,3,19,Thursday,Subscriber
6.417,3,19,Thursday,Subscriber
12.133,3,19,Thursday,Subscriber
2.533,3,19,Thursday,Subscriber
8.7,3,19,Thursday,Subscriber
6.933,3,19,Thursday,Subscriber
13.717,3,18,Thursday,Subscriber
20.067,3,18,Thursday,Subscriber
21.817,3,18,Thursday,Customer
14.283,3,18,Thursday,Subscriber
6.267,3,18,Thursday,Subscriber
10.3,3,18,Thursday,Subscriber
4.733,3,18,Thursday,Subscriber
9.117,3,18,Thursday,Subscriber
4.267,3,17,Thursday,Subscriber
7.8,3,17,Thursday,Subscriber
9.717,3,17,Thursday,Subscriber
2.467,3,17,Thursday,Subscriber
14.567,3,17,Thursday,Subscriber
4.75,3,17,Thursday,Subscriber
9.35,3,17,Thursday,Subscriber
4.533,3,17,Thursday,Subscriber
5.25,3,17,Thursday,Subscriber
14.433,3,17,Thursday,Subscriber
22.317,3,17,Thursday,Customer
20.917,3,17,Thursday,Subscriber
9.733,3,17,Thursday,Subscriber
6.183,3,17,Thursday,Subscriber
10.333,3,17,Thursday,Subscriber
29.8,3,17,Thursday,Subscriber
2.483,3,17,Thursday,Subscriber
12.183,3,17,Thursday,Subscriber
10.383,3,17,Thursday,Subscriber
14.217,3,17,Thursday,Subscriber
5.867,3,17,Thursday,Subscriber
12.75,3,17,Thursday,Subscriber
10.7,3,17,Thursday,Subscriber
6.583,3,17,Thursday,Subscriber
14.017,3,17,Thursday,Subscriber
5.65,3,16,Thursday,Subscriber
8.117,3,16,Thursday,Subscriber
19.05,3,16,Thursday,Subscriber
12.283,3,16,Thursday,Subscriber
8.483,3,16,Thursday,Subscriber
10.017,3,16,Thursday,Subscriber
4.383,3,16,Thursday,Subscriber
9.033,3,16,Thursday,Subscriber
18.033,3,16,Thursday,Subscriber
26.367,3,16,Thursday,Customer
3.433,3,16,Thursday,Subscriber
12.333,3,16,Thursday,Customer
16.617,3,16,Thursday,Subscriber
2.85,3,16,Thursday,Subscriber
37.75,3,16,Thursday,Subscriber
25.7,3,15,Thursday,Customer
11.45,3,15,Thursday,Subscriber
11.367,3,15,Thursday,Subscriber
8.783,3,15,Thursday,Subscriber
30.5,3,15,Thursday,Subscriber
29.583,3,15,Thursday,Customer
23.667,3,15,Thursday,Subscriber
3.867,3,15,Thursday,Subscriber
3.1,3,15,Thursday,Subscriber
10.667,3,14,Thursday,Customer
16.583,3,14,Thursday,Subscriber
24.8,3,14,Thursday,Customer
10.05,3,14,Thursday,Subscriber
5.9,3,14,Thursday,Customer
25.733,3,14,Thursday,Subscriber
3.5,3,14,Thursday,Subscriber
189.933,3,14,Thursday,Subscriber
6.0,3,13,Thursday,Subscriber
1.1,3,13,Thursday,Subscriber
26.167,3,13,Thursday,Customer
91.3,3,12,Thursday,Customer
5.25,3,12,Thursday,Subscriber
7.833,3,12,Thursday,Subscriber
4.35,3,11,Thursday,Subscriber
8.8,3,11,Thursday,Subscriber
10.7,3,11,Thursday,Subscriber
9.483,3,11,Thursday,Subscriber
14.4,3,11,Thursday,Subscriber
42.6,3,11,Thursday,Customer
5.433,3,11,Thursday,Subscriber
16.517,3,10,Thursday,Subscriber
4.65,3,10,Thursday,Subscriber
2.817,3,9,Thursday,Subscriber
7.517,3,9,Thursday,Subscriber
10.55,3,9,Thursday,Subscriber
21.7,3,9,Thursday,Subscriber
12.067,3,8,Thursday,Subscriber
13.25,3,8,Thursday,Subscriber
18.0,3,8,Thursday,Subscriber
7.033,3,8,Thursday,Subscriber
20.917,3,8,Thursday,Customer
9.333,3,8,Thursday,Subscriber
3.367,3,7,Thursday,Subscriber
7.483,3,7,Thursday,Subscriber
6.883,3,7,Thursday,Subscriber
2.45,3,7,Thursday,Subscriber
3.45,3,7,Thursday,Subscriber
7.533,3,6,Thursday,Subscriber
11.833,3,6,Thursday,Subscriber
6.983,3,6,Thursday,Subscriber
7.517,3,6,Thursday,Subscriber
6.783,3,4,Thursday,Subscriber
9.833,3,0,Thursday,Subscriber
17.9,3,23,Wednesday,Subscriber
17.217,3,21,Wednesday,Subscriber
12.333,3,21,Wednesday,Subscriber
11.45,3,19,Wednesday,Subscriber
3.333,3,19,Wednesday,Subscriber
10.367,3,19,Wednesday,Subscriber
14.05,3,19,Wednesday,Subscriber
10.383,3,19,Wednesday,Subscriber
6.5,3,19,Wednesday,Subscriber
24.75,3,19,Wednesday,Subscriber
6.833,3,18,Wednesday,Subscriber
10.633,3,18,Wednesday,Subscriber
5.5,3,18,Wednesday,Subscriber
2.333,3,18,Wednesday,Subscriber
6.017,3,18,Wednesday,Subscriber
16.05,3,18,Wednesday,Subscriber
9.9,3,17,Wednesday,Subscriber
18.9,3,17,Wednesday,Subscriber
10.333,3,17,Wednesday,Subscriber
2.45,3,17,Wednesday,Subscriber
22.133,3,17,Wednesday,Subscriber
5.75,3,17,Wednesday,Customer
5.783,3,17,Wednesday,Subscriber
7.65,3,17,Wednesday,Subscriber
20.867,3,17,Wednesday,Subscriber
12.383,3,17,Wednesday,Subscriber
3.583,3,17,Wednesday,Subscriber
3.35,3,17,Wednesday,Subscriber
5.45,3,17,Wednesday,Subscriber
11.283,3,17,Wednesday,Subscriber
9.733,3,17,Wednesday,Subscriber
16.25,3,16,Wednesday,Subscriber
9.583,3,16,Wednesday,Subscriber
3.0,3,16,Wednesday,Subscriber
9.083,3,16,Wednesday,Subscriber
4.883,3,16,Wednesday,Subscriber
10.333,3,16,Wednesday,Subscriber
6.367,3,16,Wednesday,Subscriber
35.783,3,16,Wednesday,Customer
2.6,3,16,Wednesday,Subscriber
11.25,3,15,Wednesday,Subscriber
11.533,3,15,Wednesday,Subscriber
27.65,3,15,Wednesday,Customer
10.283,3,15,Wednesday,Subscriber
4.7,3,15,Wednesday,Subscriber
12.017,3,15,Wednesday,Subscriber
10.533,3,15,Wednesday,Subscriber
10.783,3,15,Wednesday,Subscriber
40.583,3,15,Wednesday,Customer
14.417,3,15,Wednesday,Subscriber
12.95,3,15,Wednesday,Subscriber
8.0,3,15,Wednesday,Customer
10.917,3,15,Wednesday,Subscriber
16.367,3,15,Wednesday,Customer
18.35,3,15,Wednesday,Subscriber
9.967,3,14,Wednesday,Subscriber
5.983,3,14,Wednesday,Subscriber
5.633,3,14,Wednesday,Subscriber
3.317,3,14,Wednesday,Subscriber
14.95,3,14,Wednesday,Subscriber
19.15,3,14,Wednesday,Subscriber
5.6,3,13,Wednesday,Subscriber
50.6,3,13,Wednesday,Customer
10.65,3,13,Wednesday,Subscriber
5.283,3,13,Wednesday,Subscriber
20.533,3,13,Wednesday,Subscriber
12.183,3,13,Wednesday,Subscriber
4.817,3,13,Wednesday,Subscriber
15.317,3,13,Wednesday,Subscriber
7.267,3,13,Wednesday,Subscriber
5.683,3,13,Wednesday,Subscriber
13.233,3,13,Wednesday,Subscriber
10.567,3,13,Wednesday,Subscriber
4.517,3,13,Wednesday,Customer
7.567,3,12,Wednesday,Customer
16.883,3,12,Wednesday,Customer
22.917,3,12,Wednesday,Subscriber
3.417,3,12,Wednesday,Subscriber
21.667,3,12,Wednesday,Subscriber
3.45,3,12,Wednesday,Subscriber
6.6,3,12,Wednesday,Subscriber
6.6,3,12,Wednesday,Subscriber
19.4,3,12,Wednesday,Subscriber
4.217,3,11,Wednesday,Subscriber
28.383,3,11,Wednesday,Subscriber
22.567,3,11,Wednesday,Customer
38.233,3,10,Wednesday,Customer
3.65,3,10,Wednesday,Subscriber
1.5,3,9,Wednesday,Subscriber
7.317,3,9,Wednesday,Subscriber
2.567,3,9,Wednesday,Subscriber
9.033,3,9,Wednesday,Subscriber
18.583,3,9,Wednesday,Subscriber
12.667,3,9,Wednesday,Subscriber
5.333,3,9,Wednesday,Subscriber
5.033,3,9,Wednesday,Subscriber
11.55,3,8,Wednesday,Subscriber
8.667,3,8,Wednesday,Subscriber
5.6,3,8,Wednesday,Subscriber
11.7,3,8,Wednesday,Subscriber
5.3,3,8,Wednesday,Subscriber
13.633,3,8,Wednesday,Subscriber
3.383,3,8,Wednesday,Subscriber
7.517,3,8,Wednesday,Subscriber
7.4,3,8,Wednesday,Subscriber
9.7,3,8,Wednesday,Subscriber
2.383,3,8,Wednesday,Subscriber
5.25,3,8,Wednesday,Subscriber
4.383,3,8,Wednesday,Subscriber
4.167,3,8,Wednesday,Subscriber
10.2,3,8,Wednesday,Subscriber
10.317,3,8,Wednesday,Subscriber
9.15,3,8,Wednesday,Subscriber
10.417,3,8,Wednesday,Subscriber
33.6,3,8,Wednesday,Customer
25.867,3,8,Wednesday,Subscriber
4.633,3,8,Wednesday,Subscriber
7.817,3,8,Wednesday,Subscriber
2.0,3,8,Wednesday,Subscriber
4.583,3,7,Wednesday,Subscriber
6.867,3,7,Wednesday,Subscriber
5.017,3,7,Wednesday,Subscriber
5.883,3,7,Wednesday,Subscriber
13.45,3,7,Wednesday,Subscriber
2.2,3,7,Wednesday,Subscriber
3.533,3,7,Wednesday,Subscriber
9.15,3,7,Wednesday,Subscriber
16.5,3,7,Wednesday,Subscriber
2.417,3,7,Wednesday,Subscriber
16.833,3,7,Wednesday,Subscriber
5.733,3,7,Wednesday,Subscriber
6.567,3,7,Wednesday,Subscriber
2.467,3,7,Wednesday,Subscriber
11.7,3,7,Wednesday,Subscriber
17.933,3,7,Wednesday,Subscriber
8.5,3,7,Wednesday,Subscriber
8.567,3,7,Wednesday,Subscriber
9.017,3,7,Wednesday,Subscriber
9.933,3,7,Wednesday,Subscriber
4.367,3,6,Wednesday,Subscriber
6.967,3,6,Wednesday,Subscriber
9.783,3,6,Wednesday,Subscriber
24.217,3,6,Wednesday,Subscriber
4.6,3,6,Wednesday,Subscriber
6.35,3,6,Wednesday,Subscriber
17.133,3,6,Wednesday,Subscriber
4.45,3,6,Wednesday,Subscriber
15.067,3,6,Wednesday,Subscriber
6.733,3,6,Wednesday,Subscriber
21.367,3,6,Wednesday,Subscriber
9.533,3,5,Wednesday,Subscriber
9.2,3,4,Wednesday,Subscriber
14.833,3,0,Wednesday,Subscriber
3.417,3,22,Tuesday,Subscriber
10.083,3,22,Tuesday,Subscriber
8.383,3,22,Tuesday,Subscriber
2.6,3,22,Tuesday,Subscriber
4.067,3,21,Tuesday,Subscriber
2.733,3,21,Tuesday,Subscriber
3.867,3,21,Tuesday,Subscriber
3.1,3,20,Tuesday,Subscriber
13.783,3,20,Tuesday,Subscriber
23.583,3,20,Tuesday,Subscriber
5.667,3,20,Tuesday,Subscriber
16.183,3,20,Tuesday,Subscriber
12.233,3,20,Tuesday,Subscriber
12.633,3,20,Tuesday,Subscriber
4.583,3,19,Tuesday,Subscriber
6.633,3,19,Tuesday,Subscriber
32.667,3,19,Tuesday,Customer
10.2,3,19,Tuesday,Subscriber
5.2,3,19,Tuesday,Subscriber
11.467,3,19,Tuesday,Subscriber
9.867,3,19,Tuesday,Subscriber
23.833,3,19,Tuesday,Subscriber
26.067,3,19,Tuesday,Subscriber
6.95,3,19,Tuesday,Subscriber
13.75,3,19,Tuesday,Subscriber
6.6,3,18,Tuesday,Subscriber
8.033,3,18,Tuesday,Subscriber
4.6,3,18,Tuesday,Subscriber
12.267,3,18,Tuesday,Subscriber
14.233,3,18,Tuesday,Subscriber
10.75,3,18,Tuesday,Subscriber
14.617,3,18,Tuesday,Subscriber
2.067,3,18,Tuesday,Subscriber
52.75,3,18,Tuesday,Customer
1.017,3,18,Tuesday,Subscriber
6.733,3,18,Tuesday,Subscriber
6.433,3,18,Tuesday,Subscriber
14.6,3,18,Tuesday,Subscriber
10.717,3,18,Tuesday,Subscriber
12.317,3,17,Tuesday,Subscriber
16.767,3,17,Tuesday,Subscriber
17.283,3,17,Tuesday,Customer
44.717,3,17,Tuesday,Customer
6.483,3,17,Tuesday,Subscriber
12.133,3,17,Tuesday,Subscriber
8.917,3,17,Tuesday,Subscriber
17.467,3,17,Tuesday,Subscriber
5.183,3,17,Tuesday,Subscriber
23.25,3,17,Tuesday,Subscriber
7.983,3,17,Tuesday,Subscriber
6.233,3,17,Tuesday,Subscriber
6.133,3,17,Tuesday,Subscriber
7.617,3,17,Tuesday,Subscriber
9.483,3,17,Tuesday,Subscriber
11.333,3,17,Tuesday,Subscriber
9.583,3,17,Tuesday,Subscriber
20.4,3,17,Tuesday,Subscriber
