duration,month,hour,day_of_week,user_type
7.123,3,22,Thursday,Subscriber
9.793,3,22,Thursday,Subscriber
6.633,3,22,Thursday,Subscriber
7.405,3,22,Thursday,Subscriber
13.015,3,22,Thursday,Subscriber
17.055,3,22,Thursday,Subscriber
11.012,3,22,Thursday,Subscriber
30.012,3,21,Thursday,Subscriber
3.627,3,21,Thursday,Subscriber
6.592,3,21,Thursday,Subscriber
16.912,3,21,Thursday,Customer
4.017,3,21,Thursday,Subscriber
102.999,3,21,Thursday,Customer
23.829,3,21,Thursday,Subscriber
2.497,3,20,Thursday,Subscriber
2.389,3,20,Thursday,Subscriber
9.667,3,20,Thursday,Customer
4.998,3,20,Thursday,Subscriber
3.783,3,20,Thursday,Subscriber
19.574,3,20,Thursday,Subscriber
7.236,3,20,Thursday,Subscriber
37.016,3,20,Thursday,Subscriber
6.355,3,19,Thursday,Subscriber
5.219,3,19,Thursday,Subscriber
12.379,3,19,Thursday,Subscriber
12.898,3,19,Thursday,Customer
6.354,3,19,Thursday,Subscriber
20.272,3,19,Thursday,Subscriber
5.163,3,19,Thursday,Subscriber
25.302,3,19,Thursday,Customer
12.022,3,19,Thursday,Subscriber
36.016,3,18,Thursday,Customer
14.835,3,18,Thursday,Subscriber
17.089,3,18,Thursday,Subscriber
91.167,3,18,Thursday,Subscriber
5.482,3,18,Thursday,Subscriber
8.157,3,18,Thursday,Subscriber
7.158,3,18,Thursday,Subscriber
5.237,3,18,Thursday,Subscriber
17.667,3,18,Thursday,Subscriber
13.234,3,18,Thursday,Customer
18.498,3,18,Thursday,Subscriber
23.232,3,18,Thursday,Subscriber
13.993,3,18,Thursday,Subscriber
12.963,3,18,Thursday,Subscriber
12.165,3,18,Thursday,Subscriber
17.847,3,18,Thursday,Subscriber
19.793,3,18,Thursday,Subscriber
7.606,3,18,Thursday,Subscriber
12.439,3,18,Thursday,Subscriber
3.611,3,18,Thursday,Subscriber
15.779,3,17,Thursday,Subscriber
23.067,3,17,Thursday,Customer
20.375,3,17,Thursday,Subscriber
10.415,3,17,Thursday,Subscriber
14.76,3,17,Thursday,Subscriber
13.549,3,17,Thursday,Subscriber
20.335,3,17,Thursday,Subscriber
24.523,3,17,Thursday,Subscriber
46.154,3,17,Thursday,Customer
13.706,3,17,Thursday,Subscriber
6.272,3,17,Thursday,Subscriber
19.31,3,17,Thursday,Subscriber
5.754,3,17,Thursday,Subscriber
8.794,3,17,Thursday,Subscriber
19.963,3,17,Thursday,Subscriber
22.837,3,17,Thursday,Subscriber
5.957,3,17,Thursday,Subscriber
12.693,3,17,Thursday,Subscriber
5.083,3,17,Thursday,Subscriber
12.694,3,17,Thursday,Subscriber
14.652,3,17,Thursday,Subscriber
12.656,3,17,Thursday,Subscriber
5.312,3,17,Thursday,Subscriber
8.784,3,17,Thursday,Subscriber
12.246,3,17,Thursday,Subscriber
