year,city,country,avg_temp
1743,Minneapolis,United States,-2.53
1744,Minneapolis,United States,8.07
1745,Minneapolis,United States,-5.84
1746,Minneapolis,United States,
1747,Minneapolis,United States,
1748,Minneapolis,United States,
1749,Minneapolis,United States,
1750,Minneapolis,United States,5.65
1751,Minneapolis,United States,6.44
1752,Minneapolis,United States,-2.72
1753,Minneapolis,United States,4.94
1754,Minneapolis,United States,4.69
1755,Minneapolis,United States,1.80
1756,Minneapolis,United States,5.11
1757,Minneapolis,United States,4.38
1758,Minneapolis,United States,3.49
1759,Minneapolis,United States,4.50
1760,Minneapolis,United States,2.47
1761,Minneapolis,United States,5.27
1762,Minneapolis,United States,5.20
1763,Minneapolis,United States,2.26
1764,Minneapolis,United States,4.55
1765,Minneapolis,United States,4.15
1766,Minneapolis,United States,5.34
1767,Minneapolis,United States,3.80
1768,Minneapolis,United States,3.80
1769,Minneapolis,United States,4.75
1770,Minneapolis,United States,4.61
1771,Minneapolis,United States,5.18
1772,Minneapolis,United States,5.20
1773,Minneapolis,United States,5.25
1774,Minneapolis,United States,4.56
1775,Minneapolis,United States,5.99
1776,Minneapolis,United States,4.80
1777,Minneapolis,United States,4.73
1778,Minneapolis,United States,1.80
1779,Minneapolis,United States,5.09
1780,Minneapolis,United States,8.71
1781,Minneapolis,United States,5.02
1782,Minneapolis,United States,4.58
1783,Minneapolis,United States,4.38
1784,Minneapolis,United States,4.48
1785,Minneapolis,United States,4.17
1786,Minneapolis,United States,4.74
1787,Minneapolis,United States,4.79
1788,Minneapolis,United States,5.16
1789,Minneapolis,United States,4.95
1790,Minneapolis,United States,4.83
1791,Minneapolis,United States,5.10
1792,Minneapolis,United States,4.65
1793,Minneapolis,United States,5.01
1794,Minneapolis,United States,5.17
1795,Minneapolis,United States,5.01
1796,Minneapolis,United States,5.02
1797,Minneapolis,United States,4.63
1798,Minneapolis,United States,5.34
1799,Minneapolis,United States,5.11
1800,Minneapolis,United States,5.06
1801,Minneapolis,United States,5.39
1802,Minneapolis,United States,5.52
1803,Minneapolis,United States,5.30
1804,Minneapolis,United States,5.37
1805,Minneapolis,United States,5.39
1806,Minneapolis,United States,5.05
1807,Minneapolis,United States,4.84
1808,Minneapolis,United States,4.63
1809,Minneapolis,United States,3.79
1810,Minneapolis,United States,3.86
1811,Minneapolis,United States,4.04
1812,Minneapolis,United States,3.17
1813,Minneapolis,United States,4.70
1814,Minneapolis,United States,4.64
1815,Minneapolis,United States,3.75
1816,Minneapolis,United States,3.02
1817,Minneapolis,United States,3.51
1818,Minneapolis,United States,4.71
1819,Minneapolis,United States,3.87
1820,Minneapolis,United States,3.49
1821,Minneapolis,United States,4.07
1822,Minneapolis,United States,4.38
1823,Minneapolis,United States,4.01
1824,Minneapolis,United States,4.21
1825,Minneapolis,United States,5.80
1826,Minneapolis,United States,4.68
1827,Minneapolis,United States,5.49
1828,Minneapolis,United States,5.34
1829,Minneapolis,United States,4.78
1830,Minneapolis,United States,6.14
1831,Minneapolis,United States,3.83
1832,Minneapolis,United States,5.11
1833,Minneapolis,United States,5.91
1834,Minneapolis,United States,5.89
1835,Minneapolis,United States,3.91
1836,Minneapolis,United States,3.78
1837,Minneapolis,United States,4.38
1838,Minneapolis,United States,3.33
1839,Minneapolis,United States,5.77
1840,Minneapolis,United States,4.86
1841,Minneapolis,United States,4.71
1842,Minneapolis,United States,4.80
1843,Minneapolis,United States,3.33
1844,Minneapolis,United States,4.29
1845,Minneapolis,United States,5.54
1846,Minneapolis,United States,6.89
1847,Minneapolis,United States,4.02
1848,Minneapolis,United States,4.29
1849,Minneapolis,United States,3.97
1850,Minneapolis,United States,4.85
1851,Minneapolis,United States,5.63
1852,Minneapolis,United States,4.91
1853,Minneapolis,United States,4.39
1854,Minneapolis,United States,5.49
1855,Minneapolis,United States,4.30
1856,Minneapolis,United States,3.81
1857,Minneapolis,United States,3.70
1858,Minneapolis,United States,5.45
1859,Minneapolis,United States,3.49
1860,Minneapolis,United States,4.43
1861,Minneapolis,United States,3.99
1862,Minneapolis,United States,3.21
1863,Minneapolis,United States,4.21
1864,Minneapolis,United States,4.16
1865,Minneapolis,United States,4.63
1866,Minneapolis,United States,3.32
1867,Minneapolis,United States,3.24
1868,Minneapolis,United States,3.64
1869,Minneapolis,United States,3.68
1870,Minneapolis,United States,5.54
1871,Minneapolis,United States,4.53
1872,Minneapolis,United States,3.74
1873,Minneapolis,United States,3.56
1874,Minneapolis,United States,4.62
1875,Minneapolis,United States,2.18
1876,Minneapolis,United States,3.71
1877,Minneapolis,United States,5.95
1878,Minneapolis,United States,7.20
1879,Minneapolis,United States,4.92
1880,Minneapolis,United States,4.41
1881,Minneapolis,United States,4.75
1882,Minneapolis,United States,5.14
1883,Minneapolis,United States,2.69
1884,Minneapolis,United States,3.59
1885,Minneapolis,United States,3.43
1886,Minneapolis,United States,4.07
1887,Minneapolis,United States,3.69
1888,Minneapolis,United States,3.14
1889,Minneapolis,United States,5.34
1890,Minneapolis,United States,4.59
1891,Minneapolis,United States,5.16
1892,Minneapolis,United States,4.34
1893,Minneapolis,United States,3.50
1894,Minneapolis,United States,6.10
1895,Minneapolis,United States,4.65
1896,Minneapolis,United States,4.63
1897,Minneapolis,United States,4.59
1898,Minneapolis,United States,5.30
1899,Minneapolis,United States,4.54
1900,Minneapolis,United States,6.00
1901,Minneapolis,United States,5.27
1902,Minneapolis,United States,5.25
1903,Minneapolis,United States,4.05
1904,Minneapolis,United States,3.68
1905,Minneapolis,United States,4.73
1906,Minneapolis,United States,5.25
1907,Minneapolis,United States,3.95
1908,Minneapolis,United States,5.98
1909,Minneapolis,United States,4.75
1910,Minneapolis,United States,5.79
1911,Minneapolis,United States,5.23
1912,Minneapolis,United States,4.07
1913,Minneapolis,United States,5.51
1914,Minneapolis,United States,5.25
1915,Minneapolis,United States,5.50
1916,Minneapolis,United States,3.95
1917,Minneapolis,United States,2.94
1918,Minneapolis,United States,5.62
1919,Minneapolis,United States,5.03
1920,Minneapolis,United States,5.15
1921,Minneapolis,United States,6.85
1922,Minneapolis,United States,5.73
1923,Minneapolis,United States,5.56
1924,Minneapolis,United States,4.03
1925,Minneapolis,United States,5.23
1926,Minneapolis,United States,4.58
1927,Minneapolis,United States,4.43
1928,Minneapolis,United States,5.43
1929,Minneapolis,United States,3.98
1930,Minneapolis,United States,6.06
1931,Minneapolis,United States,8.24
1932,Minneapolis,United States,5.16
1933,Minneapolis,United States,5.64
1934,Minneapolis,United States,6.04
1935,Minneapolis,United States,5.03
1936,Minneapolis,United States,4.31
1937,Minneapolis,United States,4.60
1938,Minneapolis,United States,6.29
1939,Minneapolis,United States,6.11
1940,Minneapolis,United States,5.02
1941,Minneapolis,United States,6.60
1942,Minneapolis,United States,5.80
1943,Minneapolis,United States,4.82
1944,Minneapolis,United States,6.31
1945,Minneapolis,United States,4.70
1946,Minneapolis,United States,5.79
1947,Minneapolis,United States,5.49
1948,Minneapolis,United States,5.46
1949,Minneapolis,United States,5.90
1950,Minneapolis,United States,3.49
1951,Minneapolis,United States,3.84
1952,Minneapolis,United States,5.96
1953,Minneapolis,United States,6.32
1954,Minneapolis,United States,5.85
1955,Minneapolis,United States,5.43
1956,Minneapolis,United States,5.21
1957,Minneapolis,United States,5.36
1958,Minneapolis,United States,5.60
1959,Minneapolis,United States,5.63
1960,Minneapolis,United States,5.30
1961,Minneapolis,United States,5.97
1962,Minneapolis,United States,5.26
1963,Minneapolis,United States,5.90
1964,Minneapolis,United States,5.99
1965,Minneapolis,United States,4.40
1966,Minneapolis,United States,4.69
1967,Minneapolis,United States,4.71
1968,Minneapolis,United States,5.80
1969,Minneapolis,United States,5.23
1970,Minneapolis,United States,4.97
1971,Minneapolis,United States,5.13
1972,Minneapolis,United States,3.88
1973,Minneapolis,United States,6.53
1974,Minneapolis,United States,5.44
1975,Minneapolis,United States,5.33
1976,Minneapolis,United States,5.44
1977,Minneapolis,United States,5.90
1978,Minneapolis,United States,4.91
1979,Minneapolis,United States,4.20
1980,Minneapolis,United States,5.60
1981,Minneapolis,United States,6.48
1982,Minneapolis,United States,4.76
1983,Minneapolis,United States,5.88
1984,Minneapolis,United States,5.95
